"ProductId";"CategoryId";"createdAt";"updatedAt"
1;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
2;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
3;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
4;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
5;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
6;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
7;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
8;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
9;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
10;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
11;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
12;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
13;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
14;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
15;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
16;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
17;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
18;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
19;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
20;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
21;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
22;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
23;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
24;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
25;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
26;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
28;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
29;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
30;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
31;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
32;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
33;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
34;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
35;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
36;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
37;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
38;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
39;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
40;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
41;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
42;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
43;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
44;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
45;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
46;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
47;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
48;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
49;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
50;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
51;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
52;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
53;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
55;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
56;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
57;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
58;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
59;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
60;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
61;1;"2019-09-01 15:44:26";"2019-09-01 15:44:26"
